domain,divergence,n_ayat
mizan-timbangan-adil,0.2605,17
infaq-etika,0.2172,10
rezeki-kerja-halal,0.2153,9
produksi,0.2149,4
uqud-akad-janji,0.214,6
riba,0.2136,9
qard-utang,0.2017,1
zakat-infaq,0.1891,6
syirkah-mudharabah,0.1853,3
harta-fitnah,0.1713,5
gharar-maysir-judi,0.1711,3
amanah-trust,0.1705,3
harta-batil-suap,0.1649,2
bay-jualbeli,0.1642,6
distribusi-kekayaan,0.1617,1
wasiat,0.1605,5
harta-anak-yatim,0.1542,4
penimbunan-kanz,0.1495,2
warisan-faraid,0.1392,6
ijarah,0.1336,3
