pair,mean,lo,hi,label,family
id-bn,0.9009114285714286,0.8892647619047619,0.9118211904761905,Indonesia<e2><80><93>Malaysia,Malay family
id-ms,0.8759466666666667,0.8628321904761904,0.8880323095238095,Indonesia<e2><80><93>Malaysia,Malay family
id-th,0.7702619047619048,0.7564099285714286,0.7838115714285714,Indonesia<e2><80><93>Thailand,Cross-family
id-tl,0.7788895238095238,0.7589263095238095,0.7969127857142856,Indonesia<e2><80><93>Philippines,Cross-family
ms-bn,0.9231409523809524,0.9108960238095238,0.933805,Malaysia<e2><80><93>Brunei,Malay family
ms-th,0.7709952380952381,0.7565239047619048,0.7847562619047619,Malaysia<e2><80><93>Thailand,Cross-family
ms-tl,0.7510476190476191,0.7302799285714285,0.7703165952380953,Malaysia<e2><80><93>Philippines,Cross-family
th-bn,0.7801771428571429,0.7663750476190476,0.7930405952380952,Thailand<e2><80><93>Brunei,Cross-family
th-tl,0.7090542857142857,0.6913230952380953,0.7258772619047619,Thailand<e2><80><93>Philippines,Cross-family
tl-bn,0.75786,0.7359619047619047,0.7776659047619048,Philippines<e2><80><93>Brunei,Cross-family
