Edition,word,weight
Indonesia (Kemenag),salat,0.015963640739200497
Indonesia (Kemenag),bagian,0.015963640739200497
Indonesia (Kemenag),memperoleh,0.014367276665280449
Indonesia (Kemenag),istri,0.0127709125913604
Indonesia (Kemenag),hewan,0.0127709125913604
Indonesia (Kemenag),setan,0.01117454851744035
Indonesia (Kemenag),bertakwalah,0.01117454851744035
Indonesia (Kemenag),takaran,0.01117454851744035
Indonesia (Kemenag),rasul,0.010635938686228297
Indonesia (Kemenag),menginfakkan,0.007981820369600249
Indonesia (Kemenag),menuliskannya,0.007981820369600249
Indonesia (Kemenag),kerusakan,0.007981820369600249
Indonesia (Kemenag),dawud,0.007981820369600249
Indonesia (Kemenag),sampai,0.0076606510341538855
Indonesia (Kemenag),janji,0.007235592849761508
Indonesia (Kemenag),termasuk,0.006914367077325271
Indonesia (Kemenag),bertakwa,0.0063854562956802
Indonesia (Kemenag),batil,0.0063854562956802
Indonesia (Kemenag),infakkanlah,0.0063854562956802
Indonesia (Kemenag),melaksanakan,0.0063854562956802
Indonesia (Kemenag),maupun,0.0063854562956802
Indonesia (Kemenag),perdagangan,0.0063854562956802
Indonesia (Kemenag),anakmu,0.0063854562956802
Indonesia (Kemenag),mahabijaksana,0.0063854562956802
Indonesia (Kemenag),karunia,0.0063854562956802
Malaysia (Basmeih),ingatlah,0.021857947058904738
Malaysia (Basmeih),lelaki,0.018228773348809835
Malaysia (Basmeih),benda,0.013758051438824071
Malaysia (Basmeih),ugama,0.012471462810243819
Malaysia (Basmeih),amal,0.008528745636082786
Malaysia (Basmeih),perintah,0.008528745636082786
Malaysia (Basmeih),soleh,0.006928590450135456
Malaysia (Basmeih),pula,0.006744529074362984
Malaysia (Basmeih),keterangan,0.006615000059531072
Malaysia (Basmeih),sebenarnya,0.0061861640165121684
Malaysia (Basmeih),sesuatu,0.006086855573357212
Malaysia (Basmeih),mati,0.005987253972647804
Malaysia (Basmeih),muka,0.00597173887419915
Malaysia (Basmeih),hendak,0.005872463498454975
Malaysia (Basmeih),menulis,0.005542872360108365
Malaysia (Basmeih),sebagainya,0.005542872360108365
Malaysia (Basmeih),nikmat,0.005542872360108365
Malaysia (Basmeih),pemberian,0.004800438219918522
Malaysia (Basmeih),baiknya,0.004800438219918522
Malaysia (Basmeih),hartanya,0.0047010530070107
Malaysia (Basmeih),sebaliknya,0.004586017146274691
Malaysia (Basmeih),melakukannya,0.004371589411780947
Malaysia (Basmeih),sepatutnya,0.004157154270081273
Malaysia (Basmeih),perdua,0.004157154270081273
Malaysia (Basmeih),perenam,0.004157154270081273
Brunei (KHEU),laki,0.027393749052070815
Brunei (KHEU),adik,0.017908962950630054
Brunei (KHEU),beradik,0.01617439238249918
Brunei (KHEU),nabi,0.016039723269710933
Brunei (KHEU),amalan,0.013876562070952976
Brunei (KHEU),isteri,0.010790704538954688
Brunei (KHEU),salih,0.00867285129434561
Brunei (KHEU),membayar,0.00867285129434561
Brunei (KHEU),membelanjakan,0.008583066836691597
Brunei (KHEU),bahagian,0.008492788705443097
Brunei (KHEU),bapa,0.0073664522003976185
Brunei (KHEU),bathil,0.006938281035476488
Brunei (KHEU),pencatat,0.006938281035476488
Brunei (KHEU),hutang,0.006757950458823754
Brunei (KHEU),sukatan,0.006240111705932284
Brunei (KHEU),dilaksanakan,0.005766965032173394
Brunei (KHEU),sangat,0.0057220445577943965
Brunei (KHEU),bertaqwalah,0.0057220445577943965
Brunei (KHEU),bulan,0.0057220445577943965
Brunei (KHEU),atas,0.005631625382353129
Brunei (KHEU),sembahyang,0.0055860722435830176
Brunei (KHEU),bayarlah,0.0052037107766073655
Brunei (KHEU),ganjaran,0.0052037107766073655
Brunei (KHEU),ternakan,0.0052037107766073655
Brunei (KHEU),terputus,0.0052037107766073655
