word,n
harta,43
janganlah,37
anak,35
baik,34
beriman,24
laki,24
mengetahui,24
lebih,22
ada,21
seorang,20
saudara,17
berbuat,14
lain,14
mempunyai,14
perempuan,14
rasul,14
setelah,14
dua,13
jalan,13
bumi,11
manusia,11
siapa,11
bagian,10
besar,10
hari,10
jangan,10
kedua,10
memakan,10
saksi,10
salat,10
berkata,9
dosa,9
memperoleh,9
zakat,9
atas,8
banyak,8
cara,8
hamba,8
hewan,8
istri,8
keduanya,8
kerjakan,8
lalu,8
pula,8
riba,8
sendiri,8
sisi,8
termasuk,8
wasiat,8
yatim,8
adil,7
barang,7
benar,7
bertakwalah,7
ibu,7
