surah_ayat,tema,divergence
83:1,mizan-timbangan-adil,0.4437
74:38,rezeki-kerja-halal,0.4335
83:5,mizan-timbangan-adil,0.3448
26:182,mizan-timbangan-adil,0.3381
17:26,infaq-etika,0.3324
26:181,mizan-timbangan-adil,0.3295
83:2,mizan-timbangan-adil,0.3214
34:11,produksi,0.3137
23:8,uqud-akad-janji,0.2961
25:67,infaq-etika,0.294
17:35,mizan-timbangan-adil,0.292
17:27,infaq-etika,0.2879
17:34,uqud-akad-janji,0.2844
55:9,mizan-timbangan-adil,0.2817
2:43,zakat-infaq,0.2744
83:6,mizan-timbangan-adil,0.2706
26:184,mizan-timbangan-adil,0.268
2:280,riba,0.257
2:279,riba,0.2559
83:4,mizan-timbangan-adil,0.2486
2:276,riba,0.2472
4:161,riba,0.2383
3:134,infaq-etika,0.2373
21:80,produksi,0.2371
3:130,riba,0.2336
6:152,mizan-timbangan-adil,0.2297
62:10,rezeki-kerja-halal,0.2197
26:183,mizan-timbangan-adil,0.2172
10:72,rezeki-kerja-halal,0.2164
39:29,syirkah-mudharabah,0.2151
63:10,infaq-etika,0.2138
2:182,wasiat,0.212
2:254,infaq-etika,0.2119
28:76,harta-fitnah,0.2115
67:15,rezeki-kerja-halal,0.2091
5:1,uqud-akad-janji,0.2083
4:5,harta-anak-yatim,0.2038
2:245,qard-utang,0.2017
11:84,mizan-timbangan-adil,0.2011
9:103,zakat-infaq,0.1984
5:90,gharar-maysir-judi,0.1969
5:91,gharar-maysir-judi,0.1945
30:39,riba,0.1923
2:275,riba,0.1905
38:24,syirkah-mudharabah,0.1901
4:29,bay-jualbeli,0.1898
7:31,rezeki-kerja-halal,0.188
62:9,bay-jualbeli,0.1875
3:14,harta-fitnah,0.1846
25:7,rezeki-kerja-halal,0.1844
2:168,rezeki-kerja-halal,0.184
2:267,zakat-infaq,0.1811
2:180,wasiat,0.1785
24:37,bay-jualbeli,0.178
4:58,amanah-trust,0.1779
11:85,mizan-timbangan-adil,0.1775
83:3,mizan-timbangan-adil,0.1766
2:283,amanah-trust,0.1729
5:2,uqud-akad-janji,0.171
2:278,riba,0.1703
2:261,zakat-infaq,0.1698
5:38,harta-batil-suap,0.1692
9:60,zakat-infaq,0.1675
2:240,wasiat,0.1671
33:6,warisan-faraid,0.1652
16:91,uqud-akad-janji,0.1648
59:7,distribusi-kekayaan,0.1617
2:188,harta-batil-suap,0.1606
8:27,amanah-trust,0.1606
7:32,rezeki-kerja-halal,0.1593
9:4,uqud-akad-janji,0.1591
18:46,harta-fitnah,0.1587
7:85,mizan-timbangan-adil,0.158
28:77,harta-fitnah,0.1558
32:27,produksi,0.1556
61:11,bay-jualbeli,0.1548
61:10,bay-jualbeli,0.1531
34:10,produksi,0.1531
9:35,penimbunan-kanz,0.153
2:271,infaq-etika,0.1525
4:2,harta-anak-yatim,0.1506
73:20,syirkah-mudharabah,0.1506
57:7,infaq-etika,0.1489
8:75,warisan-faraid,0.1482
2:262,infaq-etika,0.1478
4:7,warisan-faraid,0.1466
8:28,harta-fitnah,0.1461
9:34,penimbunan-kanz,0.146
2:264,infaq-etika,0.1449
4:6,harta-anak-yatim,0.1445
2:110,zakat-infaq,0.1434
9:105,rezeki-kerja-halal,0.1434
28:27,ijarah,0.1375
2:277,riba,0.137
2:233,ijarah,0.1332
57:25,mizan-timbangan-adil,0.1306
4:176,warisan-faraid,0.1302
28:26,ijarah,0.13
4:11,warisan-faraid,0.1279
2:181,wasiat,0.1265
2:282,bay-jualbeli,0.122
2:219,gharar-maysir-judi,0.1219
5:106,wasiat,0.1183
4:10,harta-anak-yatim,0.1179
4:12,warisan-faraid,0.1173
